1 - azul,tucuruvi,1 - azul,luz,16
1 - azul,luz,1 - azul,são bento,"1,88"
1 - azul,luz,4 - amarela,luz,"4,5"
1 - azul,luz,10 - turquesa,luz,"4,5"
1 - azul,são bento,1 - azul,sé,"1,87"
1 - azul,sé,1 - azul,japão - liberdade,"1,25"
1 - azul,sé,3 - vermelha,sé,"4,5"
1 - azul,japão - liberdade,1 - azul,são joaquim,"2,08"
1 - azul,são joaquim,1 - azul,vergueiro,"2,16"
1 - azul,vergueiro,1 - azul,paraíso,"1,88"
1 - azul,paraíso,1 - azul,ana rosa,"1,82"
1 - azul,paraíso,2 - verde,paraíso,"4,5"
1 - azul,ana rosa,1 - azul,vila mariana,2
1 - azul,vila mariana,1 - azul,santa cruz,"2,12"
1 - azul,santa cruz,1 - azul,jabaquara,10
1 - azul,santa cruz,5 - lilás,santa cruz,"5,85"
2 - verde,vila madalena,2 - verde,consolação,7
2 - verde,consolação,2 - verde,trianon - masp,"1,75"
2 - verde,consolação,4 - amarela,paulista,"4,05"
2 - verde,trianon - masp,2 - verde,brigadeiro,"2,12"
2 - verde,brigadeiro,2 - verde,paraíso,"2,02"
2 - verde,paraíso,2 - verde,ana rosa,"2,03"
2 - verde,ana rosa,2 - verde,chácara klabin,"2,03"
2 - verde,chácara klabin,2 - verde,santos - imigrantes,"2,5"
2 - verde,santos - imigrantes,2 - verde,alto do ipiranga,"2,5"
2 - verde,alto do ipiranga,2 - verde,sacomã,"2,5"
2 - verde,sacomã,2 - verde,tamanduateí,"2,5"
2 - verde,tamanduateí,2 - verde,vila prudente,2
2 - verde,tamanduateí,10 - turquesa,tamanduateí,"4,5"
2 - verde,vila prudente,15 - prata,vila prudente,"4,5"
